year,month,DMI index
2000,1,0.02
2000,2,0.4
2000,3,0.59
2000,4,0.27
2000,5,0.15
2000,6,0.09
2000,7,0.32
2000,8,0.4
2000,9,0.11
2000,10,-0.08
2000,11,0.16
2000,12,0.12
2001,1,0.25
2001,2,0.36
2001,3,0.4
2001,4,0.13
2001,5,0.02
2001,6,0.09
2001,7,-0.26
2001,8,-0.21
2001,9,-0.29
2001,10,-0.4
2001,11,0.18
2001,12,-0.09
2002,1,-0.23
2002,2,-0.21
2002,3,-0.25
2002,4,-0.26
2002,5,-0.28
2002,6,-0.04
2002,7,-0.19
2002,8,-0.18
2002,9,0.54
2002,10,0.47
2002,11,0.07
2002,12,-0.41
2003,1,-0.51
2003,2,-0.11
2003,3,0.08
2003,4,0.09
2003,5,0.36
2003,6,0.64
2003,7,0.6
2003,8,0.46
2003,9,-0.02
2003,10,-0.21
2003,11,-0.07
2003,12,0.07
2004,1,-0.26
2004,2,-0.3
2004,3,-0.02
2004,4,-0.09
2004,5,-0.4
2004,6,-0.33
2004,7,-0.12
2004,8,0.0
2004,9,0.14
2004,10,0.19
2004,11,-0.07
2004,12,-0.24
2005,1,-0.34
2005,2,-1.04
2005,3,-0.96
2005,4,-0.1
2005,5,0.18
2005,6,0.01
2005,7,-0.29
2005,8,-0.28
2005,9,-0.71
2005,10,-0.43
2005,11,-0.21
2005,12,-0.26
2006,1,0.14
2006,2,-0.31
2006,3,-0.02
2006,4,0.29
2006,5,0.15
2006,6,0.2
2006,7,0.19
2006,8,0.36
2006,9,0.33
2006,10,0.94
2006,11,0.8
2006,12,0.21
2007,1,0.22
2007,2,-0.01
2007,3,0.17
2007,4,0.28
2007,5,0.5
2007,6,0.37
2007,7,0.51
2007,8,0.58
2007,9,0.44
2007,10,0.35
2007,11,0.03
2007,12,-0.17
2008,1,-0.17
2008,2,-0.32
2008,3,-0.02
2008,4,-0.29
2008,5,0.18
2008,6,0.3
2008,7,0.35
2008,8,0.13
2008,9,-0.05
2008,10,0.13
2008,11,0.12
2008,12,0.1
2009,1,0.05
2009,2,0.41
2009,3,0.45
2009,4,0.24
2009,5,0.28
2009,6,0.19
2009,7,-0.23
2009,8,-0.15
2009,9,-0.17
2009,10,0.03
2009,11,-0.13
2009,12,0.25
2010,1,0.26
2010,2,-0.17
2010,3,0.14
2010,4,0.29
2010,5,-0.35
2010,6,-0.17
2010,7,-0.22
2010,8,-0.41
2010,9,-0.91
2010,10,-1.02
2010,11,-0.25
2010,12,-0.26
2011,1,0.08
2011,2,-0.01
2011,3,0.08
2011,4,0.05
2011,5,-0.12
2011,6,-0.01
2011,7,0.07
2011,8,0.32
2011,9,0.47
2011,10,0.61
2011,11,0.13
2011,12,-0.07
2012,1,0.15
2012,2,-0.13
2012,3,-0.12
2012,4,-0.33
2012,5,-0.07
2012,6,0.11
2012,7,0.89
2012,8,0.92
2012,9,0.69
2012,10,0.3
2012,11,0.19
2012,12,0.09
2013,1,-0.19
2013,2,-0.21
2013,3,-0.34
2013,4,-0.34
2013,5,-0.2
2013,6,-0.41
2013,7,-0.31
2013,8,-0.37
2013,9,-0.4
2013,10,-0.09
2013,11,0.3
2013,12,-0.11
2014,1,0.01
2014,2,-0.2
2014,3,-0.6
2014,4,-0.14
2014,5,0.02
2014,6,-0.19
2014,7,-0.32
2014,8,-0.66
2014,9,-0.3
2014,10,0.01
2014,11,0.02
2014,12,-0.13
2015,1,-0.24
2015,2,-0.16
2015,3,-0.35
2015,4,0.25
2015,5,0.59
2015,6,0.25
2015,7,-0.01
2015,8,0.63
2015,9,1.01
2015,10,0.82
2015,11,0.43
2015,12,-0.05
2016,1,-0.6
2016,2,-0.12
2016,3,-0.09
2016,4,-0.17
2016,5,-0.44
2016,6,-0.82
2016,7,-1.34
2016,8,-0.86
2016,9,-1.29
2016,10,-0.81
2016,11,-0.31
2016,12,0.21
2017,1,0.27
2017,2,0.61
2017,3,0.2
2017,4,0.54
2017,5,0.52
2017,6,0.5
2017,7,0.64
2017,8,0.92
2017,9,0.19
2017,10,0.09
2017,11,0.12
2017,12,-0.36
2018,1,0.01
2018,2,0.6
2018,3,-0.25
2018,4,0.04
2018,5,0.35
2018,6,-0.17
2018,7,0.1
2018,8,0.35
2018,9,0.79
2018,10,0.43
2018,11,0.43
2018,12,0.69
2019,1,0.27
2019,2,-0.32
2019,3,-0.09
2019,4,-0.09
2019,5,0.89
2019,6,1.12
2019,7,0.84
2019,8,0.87
2019,9,1.19
2019,10,1.94
2019,11,1.42
2019,12,0.67
2020,1,0.31
2020,2,0.07
2020,3,-0.16
2020,4,-0.32
2020,5,0.13
2020,6,0.32
2020,7,0.13
2020,8,-0.74
2020,9,-0.91
2020,10,-0.33
2020,11,-0.55
2020,12,-0.1
2021,1,-0.32
2021,2,0.0
2021,3,0.03
2021,4,0.24
2021,5,-0.63
2021,6,-0.81
2021,7,-0.76
2021,8,-0.76
2021,9,-0.79
2021,10,-0.9
2021,11,-0.6
2021,12,-0.33
2022,1,-0.42
2022,2,-0.62
2022,3,-0.14
2022,4,-0.38
2022,5,-0.55
2022,6,-0.7
2022,7,-1.3
2022,8,-1.34
2022,9,-1.31
2022,10,-1.34
2022,11,-0.36
2022,12,0.09
2023,1,0.39
2023,2,0.34
2023,3,0.7
2023,4,0.09
2023,5,-0.25
2023,6,0.0
2023,7,0.31
2023,8,0.97
2023,9,1.35
2023,10,1.82
2023,11,1.51
2023,12,1.15
2024,1,0.66
2024,2,0.06
2024,3,0.36
2024,4,0.13
2024,5,0.11
2024,6,-0.25
2024,7,-0.29
2024,8,0.09
2024,9,-0.06
2024,10,-0.96
2024,11,-0.81
2024,12,-0.62
2025,1,-0.51
2025,2,0.43
2025,3,0.11
2025,4,0.0
2025,5,-0.28
2025,6,-0.43
2025,7,-0.23
2025,8,-1.37
2025,9,-1.36
2025,10,-1.88
2025,11,-1.02
2025,12,-0.35
2026,1,0.07
2026,2,99.9
2026,3,99.9
2026,4,99.9
2026,5,99.9
2026,6,99.9
2026,7,99.9
2026,8,99.9
2026,9,99.9
2026,10,99.9
2026,11,99.9
2026,12,99.9
